# Automated Sine Wave Measurement
# Timestamp,2025-12-11 15:28:40
# Frequency (Hz),5000
# Amplitude Set (Vpp),3.0
# VPP Measured (V),5.080000
# Vmax (V),2.532800
# Vmin (V),-2.547200
# VRMS (V),1.652961

Time (s),Voltage (V)
-0.000013100,-1.907200
-0.000013000,-1.947200
-0.000012900,-1.907200
-0.000012800,-1.947200
-0.000012700,-1.867200
-0.000012600,-1.867200
-0.000012500,-1.947200
-0.000012400,-1.867200
-0.000012300,-1.787200
-0.000012200,-1.867200
-0.000012100,-1.787200
-0.000012000,-1.827200
-0.000011900,-1.747200
-0.000011800,-1.827200
-0.000011700,-1.747200
-0.000011600,-1.787200
-0.000011500,-1.707200
-0.000011400,-1.787200
-0.000011300,-1.667200
-0.000011200,-1.747200
-0.000011100,-1.667200
-0.000011000,-1.707200
-0.000010900,-1.627200
-0.000010800,-1.707200
-0.000010700,-1.627200
-0.000010600,-1.707200
-0.000010500,-1.587200
-0.000010400,-1.667200
-0.000010300,-1.547200
-0.000010200,-1.627200
-0.000010100,-1.547200
-0.000010000,-1.627200
-0.000009900,-1.507200
-0.000009800,-1.507200
-0.000009700,-1.587200
-0.000009600,-1.587200
-0.000009500,-1.467200
-0.000009400,-1.547200
-0.000009300,-1.427200
-0.000009200,-1.507200
-0.000009100,-1.427200
-0.000009000,-1.507200
-0.000008900,-1.387200
-0.000008800,-1.467200
-0.000008700,-1.387200
-0.000008600,-1.427200
-0.000008500,-1.347200
-0.000008400,-1.427200
-0.000008300,-1.307200
-0.000008200,-1.387200
-0.000008100,-1.307200
-0.000008000,-1.347200
-0.000007900,-1.267200
-0.000007800,-1.347200
-0.000007700,-1.227200
-0.000007600,-1.307200
-0.000007500,-1.227200
-0.000007400,-1.267200
-0.000007300,-1.187200
-0.000007200,-1.267200
-0.000007100,-1.147200
-0.000007000,-1.227200
-0.000006900,-1.147200
-0.000006800,-1.187200
-0.000006700,-1.067200
-0.000006600,-1.187200
-0.000006500,-1.067200
-0.000006400,-1.107200
-0.000006300,-1.027200
-0.000006200,-1.107200
-0.000006100,-0.987200
-0.000006000,-1.067200
-0.000005900,-0.987200
-0.000005800,-1.027200
-0.000005700,-0.947200
-0.000005600,-0.947200
-0.000005500,-1.027200
-0.000005400,-0.987200
-0.000005300,-0.907200
-0.000005200,-0.947200
-0.000005100,-0.867200
-0.000005000,-0.947200
-0.000004900,-0.827200
-0.000004800,-0.907200
-0.000004700,-0.827200
-0.000004600,-0.867200
-0.000004500,-0.787200
-0.000004400,-0.827200
-0.000004300,-0.747200
-0.000004200,-0.827200
-0.000004100,-0.707200
-0.000004000,-0.787200
-0.000003900,-0.707200
-0.000003800,-0.747200
-0.000003700,-0.667200
-0.000003600,-0.707200
-0.000003500,-0.627200
-0.000003400,-0.707200
-0.000003300,-0.587200
-0.000003200,-0.587200
-0.000003100,-0.667200
-0.000003000,-0.627200
-0.000002900,-0.547200
-0.000002800,-0.587200
-0.000002700,-0.507200
-0.000002600,-0.507200
-0.000002500,-0.587200
-0.000002400,-0.547200
-0.000002300,-0.467200
-0.000002200,-0.507200
-0.000002100,-0.427200
-0.000002000,-0.507200
-0.000001900,-0.387200
-0.000001800,-0.467200
-0.000001700,-0.347200
-0.000001600,-0.347200
-0.000001500,-0.427200
-0.000001400,-0.387200
-0.000001300,-0.267200
-0.000001200,-0.347200
-0.000001100,-0.267200
-0.000001000,-0.307200
-0.000000900,-0.227200
-0.000000800,-0.267200
-0.000000700,-0.187200
-0.000000600,-0.267200
-0.000000500,-0.147200
-0.000000400,-0.227200
-0.000000300,-0.147200
-0.000000200,-0.187200
-0.000000100,-0.107200
-0.000000000,-0.147200
0.000000100,-0.067200
0.000000200,-0.107200
0.000000300,-0.027200
0.000000400,-0.107200
0.000000500,-0.027200
0.000000600,-0.067200
